['COUNTER', 'AF3', 'F7', 'F3', 'FC5', 'T7', 'P7', 'O1', 'O2', 'P8', 'T8', 'FC6', 'F4', 'F8', 'AF4', 'GYROX', 'GYROY', 'TIMESTAMP', 'FUNC_ID', 'FUNC_VALUE', 'MARKER', 'SYNC_SIGNAL']
2.0 , 3944.61538462 , 4406.15384615 , 4365.64102564 , 4231.28205128 , 4361.02564103 , 4560.0 , 4427.17948718 , 4162.56410256 , 4344.1025641 , 3814.87179487 , 3773.33333333 , 4254.87179487 , 4166.66666667 , 4312.82051282 , 1659.0 , 1698.0 , 10.452 , 0.0 , 0.0 , 0.0 , 0.0 , 

3.0 , 3915.38461538 , 4364.61538462 , 4434.87179487 , 4264.61538462 , 4349.23076923 , 4549.74358974 , 4419.48717949 , 4150.76923077 , 4334.35897436 , 3812.30769231 , 3792.82051282 , 4310.76923077 , 4147.69230769 , 4309.23076923 , 1659.0 , 1698.0 , 10.452 , 0.0 , 0.0 , 0.0 , 0.0 , 

4.0 , 3877.94871795 , 4291.28205128 , 4593.84615385 , 4302.56410256 , 4330.76923077 , 4528.71794872 , 4400.51282051 , 4133.33333333 , 4323.58974359 , 3813.33333333 , 3830.76923077 , 4402.05128205 , 4113.33333333 , 4288.20512821 , 1660.0 , 1698.0 , 10.467 , 0.0 , 0.0 , 0.0 , 0.0 , 

5.0 , 3886.15384615 , 4275.38461538 , 4617.94871795 , 4283.07692308 , 4329.23076923 , 4524.1025641 , 4393.84615385 , 4140.0 , 4326.66666667 , 3813.84615385 , 3841.02564103 , 4405.12820513 , 4111.28205128 , 4278.97435897 , 1658.0 , 1698.0 , 10.467 , 0.0 , 0.0 , 0.0 , 0.0 , 

6.0 , 3911.28205128 , 4295.38461538 , 4550.76923077 , 4241.02564103 , 4334.35897436 , 4525.64102564 , 4395.8974359 , 4156.41025641 , 4337.43589744 , 3817.43589744 , 3834.35897436 , 4360.0 , 4126.66666667 , 4285.12820513 , 1658.0 , 1699.0 , 10.483 , 0.0 , 0.0 , 0.0 , 0.0 , 

7.0 , 3923.07692308 , 4305.64102564 , 4513.33333333 , 4222.05128205 , 4332.82051282 , 4528.20512821 , 4395.38461538 , 4161.53846154 , 4343.58974359 , 3820.0 , 3829.74358974 , 4335.8974359 , 4135.8974359 , 4291.28205128 , 1659.0 , 1698.0 , 10.483 , 0.0 , 0.0 , 0.0 , 0.0 , 

8.0 , 3945.12820513 , 4323.58974359 , 4455.38461538 , 4197.43589744 , 4333.33333333 , 4536.92307692 , 4389.74358974 , 4170.25641026 , 4350.25641026 , 3819.48717949 , 3817.94871795 , 4301.53846154 , 4151.28205128 , 4300.0 , 1660.0 , 1698.0 , 10.499 , 0.0 , 0.0 , 0.0 , 0.0 , 

9.0 , 3974.87179487 , 4364.1025641 , 4350.76923077 , 4161.53846154 , 4340.51282051 , 4539.48717949 , 4387.17948718 , 4180.0 , 4355.38461538 , 3818.46153846 , 3798.97435897 , 4247.17948718 , 4168.71794872 , 4311.28205128 , 1659.0 , 1698.0 , 10.499 , 0.0 , 0.0 , 0.0 , 0.0 , 

10.0 , 3984.1025641 , 4390.25641026 , 4295.38461538 , 4155.38461538 , 4342.05128205 , 4536.41025641 , 4384.61538462 , 4177.94871795 , 4357.43589744 , 3818.46153846 , 3790.76923077 , 4228.71794872 , 4174.35897436 , 4314.35897436 , 1658.0 , 1699.0 , 10.514 , 0.0 , 0.0 , 0.0 , 0.0 , 

11.0 , 3983.58974359 , 4395.8974359 , 4280.51282051 , 4158.97435897 , 4336.41025641 , 4540.51282051 , 4381.53846154 , 4176.92307692 , 4362.56410256 , 3818.97435897 , 3789.74358974 , 4229.74358974 , 4178.97435897 , 4316.92307692 , 1659.0 , 1697.0 , 10.514 , 0.0 , 0.0 , 0.0 , 0.0 , 

12.0 , 3977.94871795 , 4390.76923077 , 4274.87179487 , 4152.82051282 , 4332.82051282 , 4538.46153846 , 4380.0 , 4183.07692308 , 4364.61538462 , 3818.46153846 , 3787.69230769 , 4231.28205128 , 4181.02564103 , 4318.97435897 , 1659.0 , 1698.0 , 10.53 , 0.0 , 0.0 , 0.0 , 0.0 , 

13.0 , 3961.02564103 , 4368.71794872 , 4319.48717949 , 4166.15384615 , 4330.76923077 , 4525.12820513 , 4372.30769231 , 4183.58974359 , 4358.97435897 , 3818.46153846 , 3798.46153846 , 4259.48717949 , 4170.25641026 , 4312.30769231 , 1660.0 , 1698.0 , 10.53 , 0.0 , 0.0 , 0.0 , 0.0 , 

14.0 , 3949.23076923 , 4348.20512821 , 4383.07692308 , 4192.30769231 , 4331.79487179 , 4522.05128205 , 4369.74358974 , 4181.02564103 , 4353.33333333 , 3818.46153846 , 3815.8974359 , 4293.33333333 , 4158.97435897 , 4303.58974359 , 1659.0 , 1698.0 , 10.545 , 0.0 , 0.0 , 0.0 , 0.0 , 

15.0 , 3943.07692308 , 4346.15384615 , 4412.82051282 , 4207.69230769 , 4334.87179487 , 4526.66666667 , 4374.87179487 , 4173.33333333 , 4352.82051282 , 3818.46153846 , 3818.46153846 , 4303.58974359 , 4152.82051282 , 4301.02564103 , 1659.0 , 1698.0 , 10.545 , 0.0 , 0.0 , 0.0 , 0.0 , 

16.0 , 3938.46153846 , 4346.15384615 , 4424.61538462 , 4210.76923077 , 4334.35897436 , 4527.17948718 , 4382.56410256 , 4161.53846154 , 4350.25641026 , 3818.46153846 , 3813.84615385 , 4307.69230769 , 4152.30769231 , 4302.05128205 , 1658.0 , 1698.0 , 10.561 , 0.0 , 0.0 , 0.0 , 0.0 , 

17.0 , 3937.43589744 , 4334.35897436 , 4448.20512821 , 4217.43589744 , 4331.28205128 , 4524.61538462 , 4385.64102564 , 4163.07692308 , 4346.15384615 , 3818.46153846 , 3820.0 , 4322.05128205 , 4149.23076923 , 4301.53846154 , 1659.0 , 1698.0 , 10.561 , 0.0 , 0.0 , 0.0 , 0.0 , 

18.0 , 3940.51282051 , 4328.71794872 , 4462.05128205 , 4221.02564103 , 4334.35897436 , 4523.07692308 , 4386.66666667 , 4171.79487179 , 4347.69230769 , 3818.46153846 , 3824.1025641 , 4324.61538462 , 4143.58974359 , 4299.48717949 , 1659.0 , 1698.0 , 10.577 , 0.0 , 0.0 , 0.0 , 0.0 , 

19.0 , 3945.64102564 , 4338.46153846 , 4440.51282051 , 4208.20512821 , 4336.92307692 , 4529.74358974 , 4387.69230769 , 4172.82051282 , 4351.28205128 , 3818.46153846 , 3814.87179487 , 4306.66666667 , 4150.76923077 , 4300.51282051 , 1660.0 , 1698.0 , 10.577 , 0.0 , 0.0 , 0.0 , 0.0 , 

20.0 , 3948.71794872 , 4346.66666667 , 4409.23076923 , 4193.84615385 , 4334.87179487 , 4538.46153846 , 4385.64102564 , 4170.25641026 , 4353.33333333 , 3818.46153846 , 3808.20512821 , 4292.30769231 , 4160.51282051 , 4302.56410256 , 1659.0 , 1699.0 , 10.592 , 0.0 , 0.0 , 0.0 , 0.0 , 

21.0 , 3948.20512821 , 4351.28205128 , 4385.12820513 , 4187.17948718 , 4333.33333333 , 4537.43589744 , 4382.05128205 , 4173.84615385 , 4356.41025641 , 3818.46153846 , 3808.20512821 , 4285.64102564 , 4160.0 , 4302.05128205 , 1659.0 , 1698.0 , 10.592 , 0.0 , 0.0 , 0.0 , 0.0 , 

22.0 , 3947.69230769 , 4354.87179487 , 4367.69230769 , 4181.02564103 , 4334.87179487 , 4533.33333333 , 4381.02564103 , 4177.43589744 , 4358.46153846 , 3818.46153846 , 3806.15384615 , 4276.41025641 , 4158.46153846 , 4302.05128205 , 1659.0 , 1698.0 , 10.608 , 0.0 , 0.0 , 0.0 , 0.0 , 

23.0 , 3952.30769231 , 4357.94871795 , 4359.48717949 , 4176.92307692 , 4335.8974359 , 4535.38461538 , 4381.53846154 , 4176.41025641 , 4357.43589744 , 3818.46153846 , 3804.61538462 , 4270.76923077 , 4162.56410256 , 4306.66666667 , 1660.0 , 1697.0 , 10.608 , 0.0 , 0.0 , 0.0 , 0.0 , 

24.0 , 3954.87179487 , 4359.48717949 , 4360.0 , 4181.02564103 , 4335.38461538 , 4536.41025641 , 4381.53846154 , 4177.43589744 , 4357.43589744 , 3818.46153846 , 3807.17948718 , 4272.30769231 , 4162.05128205 , 4309.74358974 , 1658.0 , 1698.0 , 10.623 , 0.0 , 0.0 , 0.0 , 0.0 , 

25.0 , 3953.33333333 , 4357.94871795 , 4368.20512821 , 4187.17948718 , 4333.33333333 , 4534.35897436 , 4381.53846154 , 4176.92307692 , 4355.8974359 , 3818.46153846 , 3806.66666667 , 4276.92307692 , 4158.97435897 , 4307.17948718 , 1659.0 , 1698.0 , 10.623 , 0.0 , 0.0 , 0.0 , 0.0 , 

26.0 , 3952.30769231 , 4357.94871795 , 4377.94871795 , 4190.76923077 , 4334.35897436 , 4534.87179487 , 4382.56410256 , 4170.76923077 , 4351.28205128 , 3818.46153846 , 3806.15384615 , 4283.07692308 , 4161.02564103 , 4306.15384615 , 1659.0 , 1698.0 , 10.639 , 0.0 , 0.0 , 0.0 , 0.0 , 

27.0 , 3954.87179487 , 4357.94871795 , 4386.66666667 , 4194.35897436 , 4337.43589744 , 4535.38461538 , 4383.07692308 , 4168.20512821 , 4350.76923077 , 3818.46153846 , 3809.74358974 , 4289.23076923 , 4161.53846154 , 4309.23076923 , 1659.0 , 1699.0 , 10.639 , 0.0 , 0.0 , 0.0 , 0.0 , 

28.0 , 3952.30769231 , 4352.82051282 , 4394.87179487 , 4196.41025641 , 4336.41025641 , 4534.35897436 , 4383.58974359 , 4171.28205128 , 4352.30769231 , 3818.46153846 , 3811.28205128 , 4293.33333333 , 4156.41025641 , 4308.71794872 , 1659.0 , 1697.0 , 10.655 , 0.0 , 0.0 , 0.0 , 0.0 , 

29.0 , 3949.74358974 , 4346.66666667 , 4402.05128205 , 4197.94871795 , 4331.79487179 , 4534.35897436 , 4384.1025641 , 4173.33333333 , 4351.28205128 , 3818.46153846 , 3810.25641026 , 4294.87179487 , 4153.84615385 , 4305.64102564 , 1658.0 , 1698.0 , 10.655 , 0.0 , 0.0 , 0.0 , 0.0 , 

30.0 , 3950.25641026 , 4345.64102564 , 4403.07692308 , 4198.46153846 , 4332.82051282 , 4536.92307692 , 4382.56410256 , 4173.84615385 , 4351.28205128 , 3818.46153846 , 3809.23076923 , 4294.87179487 , 4155.38461538 , 4304.1025641 , 1660.0 , 1698.0 , 10.67 , 0.0 , 0.0 , 0.0 , 0.0 , 

31.0 , 3950.76923077 , 4347.17948718 , 4397.94871795 , 4194.35897436 , 4334.87179487 , 4532.82051282 , 4382.05128205 , 4172.30769231 , 4354.35897436 , 3818.46153846 , 3810.25641026 , 4291.79487179 , 4154.87179487 , 4303.07692308 , 1659.0 , 1699.0 , 10.67 , 0.0 , 0.0 , 0.0 , 0.0 , 

32.0 , 3949.23076923 , 4349.23076923 , 4393.33333333 , 4191.28205128 , 4333.84615385 , 4528.20512821 , 4383.07692308 , 4169.23076923 , 4353.33333333 , 3818.46153846 , 3810.25641026 , 4288.71794872 , 4154.87179487 , 4301.53846154 , 1660.0 , 1698.0 , 10.686 , 0.0 , 0.0 , 0.0 , 0.0 , 

